ts_code,indx_name,indx_csname,pub_party_name,pub_date,base_date,bp,adj_circle
931778.CSI,中证农牧主题指数,农牧主题,中证指数有限公司,20170721,20120629,1000.0,半年
931238.CSI,中证沪深港黄金产业股票指数,SSH黄金股票,中证指数有限公司,20171017,20141231,1000.0,半年
931021.CSI,中证家电龙头指数,家电龙头,中证指数有限公司,20171017,20041231,1000.0,半年
931018.CSI,中证5-10年期国债活跃券指数,中证5-10年国债活跃券,中证指数有限公司,20171025,20111231,100.0,一个月
931028.CSI,中证港股通非银行金融主题人民币指数,港股通非银CNY,中证指数有限公司,20171106,20141114,3000.0,半年
931033.CSI,中证杭州湾区指数,杭州湾区,中证指数有限公司,20171108,20091231,1000.0,半年
SPAHLVCP.OTH,标普港股通低波红利指数,标普港股通低波红利指数,标普道琼斯指数有限公司,20170220,20110131,1000.0,半年
931039.CSI,中证银行AH价格优选指数,银行AH,中证指数有限公司,20171206,20041231,1000.0,一个月
931052.CSI,中证国信价值指数,国信价值,中证指数有限公司,20171208,20070629,1000.0,半年
931066.CSI,中证军工龙头指数,军工龙头,中证指数有限公司,20180205,20121231,1000.0,半年
000860.SH,中证央企结构调整指数,结构调整,中证指数有限公司,20180326,20141231,1000.0,半年
716567.MI,MSCI中国A股国际通(人民币)指数,MSCI中国A股国际通(人民币)指数,摩根士丹利资本国际公司,20171023,20170831,1000.0,
704843.MI,MSCI中国A股国际指数,MSCI中国A股国际指数,摩根士丹利资本国际公司,20140626,20081125,1000.0,
707918.MI,MSCI中国A股国际低波(美元)指数,MSCI中国A股国际低波(美元)指数,摩根士丹利资本国际公司,20150827,20081125,1000.0,
CBC00701.OTH,中债-中高等级公司债利差因子指数,中债-中高等级公司债利差因子指数,中央国债登记结算有限责任公司,20180615,20150630,100.0,三个月
931787.CSI,中证香港创新药指数,港股创新药,中证指数有限公司,20180814,20171229,1000.0,半年
931071.CSI,中证人工智能产业指数,人工智能,中证指数有限公司,20181121,20141231,1000.0,半年
931068.CSI,中证消费龙头指数,消费龙头,中证指数有限公司,20181121,20041231,1000.0,半年
930939.CSI,中证500质量成长指数,500质量成长,中证指数有限公司,20181121,20041231,1000.0,半年
930758.CSI,中证浙江凤凰行动50指数,凤凰50,中证指数有限公司,20181121,20121231,1000.0,半年
930740.CSI,沪深300红利低波动指数,300红利低波,中证指数有限公司,20181204,20041231,1000.0,半年
931088.CSI,中证180ESG指数,180ESG,中证指数有限公司,20181210,20151231,1000.0,半年
931078.CSI,中证可转债及可交换债券指数,中证转债及可交换债,中证指数有限公司,20190122,20021231,100.0,一个月
950045.CSI,上证5年期地方政府债指数,上证5年期地债,中证指数有限公司、上海证券交易所,20190129,20131231,100.0,一个月
399295.SZ,创业板低波价值指数,创价值,深圳证券信息有限公司、深圳证券交易所,20190123,20121231,1000.0,三个月
399296.SZ,创业板动量成长指数,创成长,深圳证券信息有限公司、深圳证券交易所,20190123,20121231,1000.0,三个月
CBA08201.OTH,中债-7-10年政策性金融债指数,中债-7-10年政策性金融债指数,中央国债登记结算有限责任公司,20190125,20111231,100.0,每日
CBA08301.OTH,中债-1-5年国开行债券指数,中债-1-5年国开行债券指数,中央国债登记结算有限责任公司,20190128,20111231,100.0,每日
990001.OTH,中华交易服务半导体芯片行业指数,中华半导体芯片,中华证券交易服务有限公司,20190318,20111230,2000.0,半年
931141.CSI,中证长三角一体化发展主题指数,CS长三角,中证指数有限公司,20190320,20121231,1000.0,半年
931139.CSI,中证消费50指数,CS消费50,中证指数有限公司,20190320,20041231,1000.0,半年
